Date,Site,Family,with/without macrophyte,no. of ind,pH,water temp(°C),CO(ms/ cm),DO(mg/ L)
4/5/2018,pond 2,Baetidae,0,1,NA,24.93,5.52,8.8
4/5/2018,pond 2,Coenagrionidae,0,16,NA,24.93,5.52,8.8
4/5/2018,pond 2,Culicidae,0,1,NA,24.93,5.52,8.8
4/5/2018,pond 2,Chironomidae,0,9,NA,24.93,5.52,8.8
4/5/2018,pond 2,Coenagrionidae,1,5,NA,25.1,5.49,2.57
4/5/2018,pond 2,Chironomidae,1,9,NA,25.1,5.49,2.57
4/5/2018,pond 3,Baetidae,0,1,NA,25.27,5.3,3.23
4/5/2018,pond 3,Coenagrionidae,0,3,NA,25.27,5.3,3.23
4/5/2018,pond 3,Chironomidae,0,16,NA,25.27,5.3,3.23
4/5/2018,pond 3,Baetidae,1,4,NA,25.73,5.1,4.43
4/5/2018,pond 3,Coenagrionidae,1,9,NA,25.73,5.1,4.43
4/5/2018,pond 3,Culicidae,1,1,NA,25.73,5.1,4.43
4/5/2018,pond 3,Chironomidae,1,26,NA,25.73,5.1,4.43
4/5/2018,pond 4,Corixidae,0,1,NA,25.53,4.73,3
4/5/2018,pond 4,Culicidae,0,1,NA,25.53,4.73,3
4/5/2018,pond 4,Chironomidae,0,5,NA,25.53,4.73,3
4/5/2018,pond 4,Baetidae,1,4,NA,24.07,4.43,3.13
4/5/2018,pond 4,Coenagrionidae,1,40,NA,24.07,4.43,3.13
4/5/2018,pond 4,Chironomidae,1,14,NA,24.07,4.43,3.13
4/22/2018,pond 2,Coenagrionidae,0,7,6.98,24.37,3.55,1.53
4/22/2018,pond 2,Chironomidae,0,30,6.98,24.37,3.55,1.53
4/22/2018,pond 2,Baetidae,1,2,7.24,24.5,3.59,1.93
4/22/2018,pond 2,Coenagrionidae,1,34,7.24,24.5,3.59,1.93
4/22/2018,pond 2,Chironomidae,1,5,7.24,24.5,3.59,1.93
4/22/2018,pond 3,Coenagrionidae,0,1,8.1,26.07,4.33,NA
4/22/2018,pond 3,Chironomidae,0,20,8.1,26.07,4.33,NA
4/22/2018,pond 3,Baetidae,1,1,7.23,23.13,4.28,3.7
